elapsed_seconds,timestamp,T_ansys_C,T_ansys_min_C,T_ansys_max_C
3600,2026-01-12 00:00:00,8.969117950681891,8.231630211896288,9.168085529206905
7200,2026-01-12 01:00:00,8.74594368562964,7.9217022852636205,8.973325372328873
10800,2026-01-12 02:00:00,8.641233077786353,7.801982880471826,8.874382962253662
14400,2026-01-12 03:00:00,8.539108388828083,7.690442931095674,8.775112000869797
18000,2026-01-12 04:00:00,8.433670230132805,7.579422969145185,8.675194481338963
21600,2026-01-12 05:00:00,8.324133092428553,7.466542542236425,8.571402732165723
25200,2026-01-12 06:00:00,8.210474609871028,7.350597202373251,8.46347032098646
28800,2026-01-12 07:00:00,8.153772780456677,7.315126474346073,8.40177778246408
32400,2026-01-12 08:00:00,8.235866152203698,7.459480467355604,8.460404003894894
36000,2026-01-12 09:00:00,8.44290057292369,7.774543538174953,8.6515312457866
39600,2026-01-12 10:00:00,8.728898752125303,8.20206047631865,8.913055821122384
43200,2026-01-12 11:00:00,8.934191876276259,8.485539705958388,9.108461483144765
46800,2026-01-12 12:00:00,9.075704849923056,8.67236972585863,9.246479304794661
50400,2026-01-12 13:00:00,9.109265415537038,8.722381360829786,9.277785002243945
54000,2026-01-12 14:00:00,9.024475476232851,8.62338009747964,9.192874541834613
57600,2026-01-12 15:00:00,8.817450237970434,8.375359151229873,8.98670966907008
61200,2026-01-12 16:00:00,8.461981788819742,7.914080536051529,8.646092442230895
64800,2026-01-12 17:00:00,8.13077074139369,7.486085355473733,8.331560924606322
68400,2026-01-12 18:00:00,7.900076675991272,7.211078012143105,8.107633751817957
72000,2026-01-12 19:00:00,7.7281919652505735,7.022739700797047,7.936938408626304
75600,2026-01-12 20:00:00,7.581902267141174,6.869080267668721,7.796719914368907
79200,2026-01-12 21:00:00,7.442269481420908,6.721395890449514,7.665440853891141
82800,2026-01-12 22:00:00,7.291668255063541,6.551716610461085,7.525267799633411
86400,2026-01-12 23:00:00,7.141136229685287,6.380470431184165,7.3849045853585835
90000,2026-01-13 00:00:00,6.994548004467731,6.2148332018363135,7.24748179628773
93600,2026-01-13 01:00:00,6.855588278306982,6.06123990854195,7.1160271658689
97200,2026-01-13 02:00:00,6.730683951995104,5.930614969738258,6.995816301054731
100800,2026-01-13 03:00:00,6.6135067867516,5.811952831361907,6.881851303419353
104400,2026-01-13 04:00:00,6.497645483667156,5.694238046106761,6.7689887819958585
108000,2026-01-13 05:00:00,6.379588582560984,5.571807744413832,6.65433870377143
111600,2026-01-13 06:00:00,6.262738037187262,5.450847003890033,6.540594000299279
115200,2026-01-13 07:00:00,6.215056107883356,5.417709120813981,6.4840678670777265
118800,2026-01-13 08:00:00,6.355476445278157,5.6293259521830805,6.590372603638343
122400,2026-01-13 09:00:00,6.631201456915846,6.021094740127523,6.850500835616742
126000,2026-01-13 10:00:00,6.876700969168894,6.33295568086686,7.097422348495172
129600,2026-01-13 11:00:00,7.088212219040372,6.586288944488956,7.314533494696093
133200,2026-01-13 12:00:00,7.2441023982621005,6.774252547174626,7.473602140649632
136800,2026-01-13 13:00:00,7.304345124725785,6.852025308381485,7.533474543411387
140400,2026-01-13 14:00:00,7.258936691283282,6.809924892554193,7.484043047252669
144000,2026-01-13 15:00:00,7.102564596203081,6.641172300906987,7.3208374084094885
147600,2026-01-13 16:00:00,6.822208110683846,6.314183315832679,7.037724658192019
151200,2026-01-13 17:00:00,6.553040959535167,5.996150623345898,6.770590031461609
154800,2026-01-13 18:00:00,6.363320335828064,5.785170449906502,6.580022728167762
158400,2026-01-13 19:00:00,6.202059760273244,5.605223490957485,6.41961165246903
162000,2026-01-13 20:00:00,6.0480402203176595,5.427878004046988,6.269125656508777
165600,2026-01-13 21:00:00,5.902119894453506,5.258952947716864,6.127578088263931
169200,2026-01-13 22:00:00,5.761698589914943,5.095835551563539,5.992218714563137
172800,2026-01-13 23:00:00,5.624604892300795,4.936046338357755,5.8611002037807225
