design_id,envelope_mass_kg,envelope_mass_t,material_cost_inr,transportability_1to5
14,122064.0,122.06,362553.0,3.64
23,93470.0,93.47,377902.0,4.27
27,128249.0,128.25,330467.0,3.97
46,115495.0,115.5,307506.0,3.95
