elapsed_seconds,timestamp,T_ansys_C,T_ansys_min_C,T_ansys_max_C
3600,2019-12-15 14:00:00,15.409303951840116,15.329690165237139,15.489997350895408
7200,2019-12-15 15:00:00,15.519870741088653,15.421861236981556,15.615374694473928
10800,2019-12-15 16:00:00,15.396791797819787,15.320760036953573,15.469103334515296
14400,2019-12-15 17:00:00,15.265375898080663,15.20775895293059,15.32046411186576
18000,2019-12-15 18:00:00,15.15767858642539,15.11129367384342,15.203025410872954
21600,2019-12-15 19:00:00,15.063209283384197,15.023981722772874,15.102790774225127
25200,2019-12-15 20:00:00,14.974508133031975,14.933072850633607,15.013549639454368
28800,2019-12-15 21:00:00,14.887796477594293,14.838728605005144,14.93533317695426
32400,2019-12-15 22:00:00,14.801242380003714,14.744170183377605,14.85756117489916
36000,2019-12-15 23:00:00,14.713792330905221,14.648457926222363,14.779101653605323
39600,2019-12-16 00:00:00,14.624781751688943,14.550969754411085,14.699267111764073
43200,2019-12-16 01:00:00,14.53403018020498,14.451585210882342,14.617829457119797
46800,2019-12-16 02:00:00,14.441745025080365,14.350600039007077,14.534914120053827
50400,2019-12-16 03:00:00,14.348290191228557,14.24846704330588,14.45079786949293
54000,2019-12-16 04:00:00,14.254097550298638,14.14570327581896,14.365827146909965
57600,2019-12-16 05:00:00,14.159587953187554,14.04280230877663,14.28034877178004
61200,2019-12-16 06:00:00,14.065109736560828,13.940165331582136,14.194656597252163
64800,2019-12-16 07:00:00,14.095152502986764,13.956085482859521,14.23789600486316
68400,2019-12-16 08:00:00,14.363397499806695,14.200812814752453,14.524974798284632
72000,2019-12-16 09:00:00,14.818348601792536,14.62535753043096,15.024785306043611
75600,2019-12-16 10:00:00,15.372039834336817,15.075976935216715,15.679636981873443
79200,2019-12-16 11:00:00,15.992744150068972,15.586035063455029,16.40631756736451
82800,2019-12-16 12:00:00,16.462298205061245,15.979437358277153,16.94601363282021
86400,2019-12-16 13:00:00,16.637379760823308,16.135625286518007,17.13457397425492
