timestamp,T_surf_airlock_f0_west_C,T_surf_airlock_f0_south_C,T_surf_airlock_f0_north_C,T_surf_airlock_f0_floor_C,T_surf_airlock_f0_roof_C,T_surf_living_f0_east_C,T_surf_living_f0_south_C,T_surf_living_f0_north_C,T_surf_living_f0_floor_C,T_surf_sleeping_f1_west_C,T_surf_sleeping_f1_east_C,T_surf_sleeping_f1_south_C,T_surf_sleeping_f1_north_C,T_surf_sleeping_f1_roof_C,T_surf_airlock_f0_living_f0_partition_C,T_surf_living_f0_sleeping_f1_ceiling_C
2026-01-25T14:00:00+05:30,5.0273,0.3703,5.4226,5.9076,4.1704,9.1731,8.6265,9.3428,18.367,7.3414,6.6025,6.6102,7.3448,7.4297,5.0877,11.4685
2026-01-25T15:00:00+05:30,4.9302,0.5054,5.3241,5.7792,4.1736,9.2717,8.7536,9.4467,18.5632,7.3307,6.6152,6.6231,7.3348,7.4411,5.0819,11.6097
2026-01-25T16:00:00+05:30,4.8382,0.6185,5.2296,5.6558,4.1592,9.3577,8.8634,9.5373,18.3827,7.2813,6.583,6.5911,7.2861,7.3103,5.0682,11.6913
2026-01-25T17:00:00+05:30,4.7471,0.6974,5.1355,5.5353,4.1218,9.4252,8.9481,9.6085,18.0332,7.1941,6.5051,6.5135,7.1991,7.0631,5.0384,11.69
2026-01-25T18:00:00+05:30,4.6522,0.7273,5.0378,5.4156,4.0538,9.4704,9.003,9.6565,17.5955,7.0745,6.3866,6.3955,7.0792,6.7379,4.9861,11.6032
2026-01-25T19:00:00+05:30,4.55,0.7028,4.9334,5.2948,3.9558,9.5023,9.0391,9.6905,17.4518,6.9581,6.2669,6.2764,6.9616,6.4667,4.9097,11.4656
2026-01-25T20:00:00+05:30,4.4404,0.6321,4.8221,5.1723,3.8361,9.5242,9.0609,9.7139,17.3892,6.8431,6.1468,6.1569,6.846,6.2415,4.8137,11.3154
2026-01-25T21:00:00+05:30,4.3238,0.5244,4.7047,5.0478,3.7004,9.5367,9.0697,9.7277,17.3552,6.7247,6.0206,6.0314,6.727,6.0371,4.7029,11.168
2026-01-25T22:00:00+05:30,4.1999,0.383,4.5807,4.9214,3.5498,9.5396,9.0652,9.7319,17.3316,6.6,5.8852,5.8966,6.6018,5.8384,4.5795,11.0271
2026-01-25T23:00:00+05:30,4.0677,0.2075,4.4493,4.7925,3.3827,9.5085,9.0208,9.7011,16.3993,6.5667,5.8416,5.8544,6.5666,5.9507,4.4403,10.9058
2026-01-26T00:00:00+05:30,3.9255,-0.0047,4.3089,4.6601,3.1962,9.4649,8.9591,9.6572,15.9613,6.519,5.7812,5.7957,6.5205,5.995,4.2822,10.8643
2026-01-26T01:00:00+05:30,3.7719,-0.2567,4.1582,4.5237,2.9887,9.4148,8.8873,9.6071,15.6533,6.4452,5.6885,5.7046,6.4476,5.941,4.1093,10.8594
2026-01-26T02:00:00+05:30,3.6062,-0.5479,3.9967,4.3828,2.7626,9.3565,8.8044,9.5491,15.3954,6.3539,5.5743,5.5918,6.357,5.832,3.9231,10.858
2026-01-26T03:00:00+05:30,3.4285,-0.8749,3.8244,4.237,2.5198,9.2884,8.7088,9.4815,15.1608,6.2489,5.4426,5.4615,6.2526,5.686,3.7241,10.8479
2026-01-26T04:00:00+05:30,3.2387,-1.2345,3.6412,4.0861,2.2623,9.2103,8.6012,9.404,14.9388,6.1321,5.2968,5.3168,6.1362,5.5167,3.5123,10.8264
2026-01-26T05:00:00+05:30,3.0386,-1.6148,3.4488,3.9302,1.9984,9.1243,8.4855,9.3185,14.7252,6.0066,5.1429,5.1637,6.011,5.3415,3.29,10.7941
2026-01-26T06:00:00+05:30,2.8318,-1.9969,3.2505,3.7701,1.7387,9.0333,8.3667,9.2279,14.5183,5.8766,4.9874,5.0085,5.8811,5.1742,3.0626,10.7522
2026-01-26T07:00:00+05:30,2.6222,-2.3643,3.0497,3.6071,1.4906,8.9399,8.2482,9.1348,14.317,5.7455,4.8346,4.8556,5.7501,5.0205,2.8363,10.7016
2026-01-26T08:00:00+05:30,2.4135,-2.7039,2.8498,3.4427,1.2607,8.8745,8.1643,9.0701,15.1465,5.5336,4.6033,4.6234,5.5394,4.6251,2.6205,10.6418
2026-01-26T09:00:00+05:30,2.2128,-2.9872,2.6572,3.2794,1.0701,8.8309,8.1136,9.0274,15.79,5.3847,4.4485,4.4667,5.3878,4.4827,2.4283,10.552
2026-01-26T10:00:00+05:30,2.0312,-3.1704,2.482,3.1212,0.9431,8.8128,8.1013,9.01,16.4219,5.3012,4.3785,4.3947,5.3032,4.5625,2.2721,10.503
2026-01-26T11:00:00+05:30,1.8769,-3.2301,2.3313,2.9719,0.8863,8.8232,8.1297,9.0207,16.9432,5.2516,4.3572,4.371,5.2532,4.7178,2.1621,10.5129
