date,wall_loss_Wh,roof_loss_Wh,floor_loss_Wh,window_loss_Wh,infiltration_loss_Wh,total_loss_Wh
2016-01-18,10091.69354038502,5110.796466620233,4185.0088166280775,12520.149095268936,11201.651240130042,43109.29915903231
2016-01-19,9698.843339153165,4911.842999362031,3991.7700073243514,12032.763794491999,10765.592522512043,41400.812662843586
2016-01-20,10021.140179621654,5075.06570790718,3287.4323024498576,12432.617840738201,11123.337908682986,41939.593939399885
2016-01-21,9179.7423222857,4648.951579581165,2775.3662832990262,11388.746801637655,10189.397008243152,38182.2039950467
2016-01-22,8517.360076163193,4313.497393473793,2348.559020780946,10566.96952051775,9454.161155209586,35200.54716614527
2016-01-23,7922.568540517203,4012.273573448915,2032.4520735970475,9829.047914288745,8793.950129555156,32590.292231407067
2016-01-24,7437.705963821532,3766.7217308512386,1770.7621613627032,9227.508467351234,8255.758847606212,30458.45717099292
2016-01-25,1118.7214501065905,566.5607671751485,203.92475589577782,1387.9295180098784,1241.766554721247,4518.9030459086425
