timestamp,outdoor_temperature_C,indoor_temperature_C
2016-01-18 03:00:00,-26.43,14.762773421874178
2016-01-18 04:00:00,-28.22,14.517688418296991
2016-01-18 05:00:00,-29.88,14.26547466619738
2016-01-18 06:00:00,-31.1,14.008478484999381
2016-01-18 07:00:00,-31.14,13.779604261178578
2016-01-18 08:00:00,-28.29,13.638979945545817
2016-01-18 09:00:00,-24.21,13.609076527588794
2016-01-18 10:00:00,-20.19,13.600345613995987
2016-01-18 11:00:00,-15.56,13.662068199370422
2016-01-18 12:00:00,-13.24,13.648973781822445
2016-01-18 13:00:00,-12.87,13.706733598167162
2016-01-18 14:00:00,-12.85,13.661173055591307
2016-01-18 15:00:00,-12.98,13.556547068769262
2016-01-18 16:00:00,-13.88,13.409223549958023
2016-01-18 17:00:00,-15.32,13.24018026600992
2016-01-18 18:00:00,-16.41,13.066507467284213
2016-01-18 19:00:00,-16.95,12.891110925811867
2016-01-18 20:00:00,-17.68,12.713007884281886
2016-01-18 21:00:00,-18.44,12.532058594497723
2016-01-18 22:00:00,-19.06,12.34901327493414
2016-01-18 23:00:00,-19.44,12.16514037960619
2016-01-19 00:00:00,-19.56,11.981804923345718
2016-01-19 01:00:00,-19.61,11.799369593185501
2016-01-19 02:00:00,-19.7,11.617619490310096
2016-01-19 03:00:00,-19.78,11.436602571988162
2016-01-19 04:00:00,-19.84,11.256418790524613
2016-01-19 05:00:00,-19.94,11.076853671550445
2016-01-19 06:00:00,-20.03,10.89795559409145
2016-01-19 07:00:00,-19.94,10.737253951969816
2016-01-19 08:00:00,-18.84,10.63211322146957
2016-01-19 09:00:00,-16.06,10.634365438172276
2016-01-19 10:00:00,-14.41,10.71805762745648
2016-01-19 11:00:00,-13.82,10.72494204348662
2016-01-19 12:00:00,-13.42,10.70778365203955
2016-01-19 13:00:00,-13.32,10.69259853166356
2016-01-19 14:00:00,-13.35,10.66841923576463
2016-01-19 15:00:00,-13.51,10.596447349645914
2016-01-19 16:00:00,-14.59,10.469002749457474
2016-01-19 17:00:00,-16.33,10.313306630355155
2016-01-19 18:00:00,-17.44,10.152791830529223
2016-01-19 19:00:00,-18.18,9.98942394045676
2016-01-19 20:00:00,-19.01,9.82275034737013
2016-01-19 21:00:00,-20.02,9.651850616215453
2016-01-19 22:00:00,-21.06,9.476594627281685
2016-01-19 23:00:00,-22.15,9.296748487510587
2016-01-20 00:00:00,-23.31,9.11197518800869
2016-01-20 01:00:00,-24.39,8.922724338614533
2016-01-20 02:00:00,-25.23,8.730279482747168
2016-01-20 03:00:00,-26.06,8.534713156651135
2016-01-20 04:00:00,-26.94,8.335783643606279
2016-01-20 05:00:00,-27.75,8.133878345163431
2016-01-20 06:00:00,-28.5,7.929329909386765
2016-01-20 07:00:00,-28.74,7.757796063108252
2016-01-20 08:00:00,-27.63,7.687361976840126
2016-01-20 09:00:00,-24.34,7.731959678949193
2016-01-20 10:00:00,-20.43,7.864650086847235
2016-01-20 11:00:00,-16.95,8.04269789890707
2016-01-20 12:00:00,-15.27,8.256571550958625
2016-01-20 13:00:00,-13.52,8.412850056342917
2016-01-20 14:00:00,-12.64,8.513228609696117
2016-01-20 15:00:00,-13.16,8.51738030635063
2016-01-20 16:00:00,-15.04,8.415862056917705
2016-01-20 17:00:00,-16.72,8.27113506012935
2016-01-20 18:00:00,-18.12,8.12000321386628
2016-01-20 19:00:00,-19.04,7.965017446481517
2016-01-20 20:00:00,-19.43,7.808974018023736
2016-01-20 21:00:00,-20.17,7.6500491685366345
2016-01-20 22:00:00,-21.35,7.485960003419542
2016-01-20 23:00:00,-22.57,7.3165300483955455
2016-01-21 00:00:00,-23.43,7.143675903150436
2016-01-21 01:00:00,-24.19,6.96794225244026
2016-01-21 02:00:00,-25.12,6.788458259702267
2016-01-21 03:00:00,-26.18,6.6045678016095035
2016-01-21 04:00:00,-27.21,6.416455694383848
2016-01-21 05:00:00,-28.09,6.224933169988862
2016-01-21 06:00:00,-28.96,6.030074135855664
2016-01-21 07:00:00,-29.29,5.867476584472724
2016-01-21 08:00:00,-27.77,5.8076809196611405
2016-01-21 09:00:00,-23.62,5.883040065529273
2016-01-21 10:00:00,-19.83,6.008552768663944
2016-01-21 11:00:00,-15.81,6.231606605921354
2016-01-21 12:00:00,-11.71,6.430788125524596
2016-01-21 13:00:00,-10.81,6.6202712902944345
2016-01-21 14:00:00,-10.91,6.725054272583463
2016-01-21 15:00:00,-11.64,6.7244193991472905
2016-01-21 16:00:00,-13.68,6.633550838555124
2016-01-21 17:00:00,-15.78,6.505032731089518
2016-01-21 18:00:00,-17.07,6.3705823618454875
2016-01-21 19:00:00,-17.93,6.2324861703651875
2016-01-21 20:00:00,-19.06,6.08935518654501
2016-01-21 21:00:00,-20.26,5.940855218757329
2016-01-21 22:00:00,-21.43,5.7871771817793665
2016-01-21 23:00:00,-22.49,5.628929171907861
2016-01-22 00:00:00,-23.52,5.466297041354812
2016-01-22 01:00:00,-24.6,5.2990470736024164
2016-01-22 02:00:00,-25.76,5.126790136283698
2016-01-22 03:00:00,-26.83,4.950028643810786
2016-01-22 04:00:00,-27.83,4.769157229487823
2016-01-22 05:00:00,-28.75,4.584620325102371
2016-01-22 06:00:00,-29.58,4.396911845400279
2016-01-22 07:00:00,-29.84,4.240618832014635
2016-01-22 08:00:00,-28.09,4.183993511093643
2016-01-22 09:00:00,-23.39,4.253130496364062
