timestamp,outdoor_temperature_C,earth_skin_temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,Q_solar_W,Q_wall_W,Q_window_W,Q_roof_W,Q_floor_W,Q_infiltration_W,Q_total_loss_W,Q_internal_W,Q_net_W,indoor_temperature_C
2016-01-18 03:00:00,-26.43,-3.58,0.0,2.69,100.0,0.0,492.90657453109577,417.6144,182.67608818541552,114.98553238099583,652.8705119999998,1861.053107097507,0.0,-1861.053107097507,14.848366055416676
2016-01-18 04:00:00,-28.22,-3.58,0.0,2.87,100.0,0.0,512.3987637708606,434.1291298386001,189.9000877514133,114.0471195798686,678.688539647678,1929.1636405884205,0.0,-1929.1636405884205,14.691182635205003
2016-01-18 05:00:00,-29.88,-3.58,0.0,3.05,100.0,0.0,530.2782755375032,449.27752096286645,196.52641297603117,113.07436289232797,702.3705244386144,1991.5270968073432,0.0,-1991.5270968073432,14.528917996822683
2016-01-18 06:00:00,-31.1,-3.58,0.0,3.14,100.0,0.0,542.8625071053376,459.9394934079727,201.19025459311308,112.07016021035808,719.0387413611304,2035.1011566779118,0.0,-2035.1011566779118,14.36310305321023
2016-01-18 07:00:00,-31.14,-3.58,51.95,3.08,100.0,130.91400000000002,541.3656446172653,458.67127877635915,200.63550243925374,111.04398585255385,717.0560991537079,2028.7725108391398,0.0,-1897.8585108391399,14.20847029654033
2016-01-18 08:00:00,-28.29,-3.58,191.82,2.94,94.46,483.3864,505.6185232121462,428.3845805891266,187.3872630373175,110.08701438596454,669.707894321001,1901.185275545556,0.0,-1417.7988755455558,14.0929515962384
2016-01-18 09:00:00,-24.21,-3.58,363.98,3.5,89.79,917.2296,455.70303320618484,386.09375209008306,168.88808504842262,109.37210699876441,603.593232434163,1723.6502097776179,0.0,-806.4206097776179,14.027246465316813
2016-01-18 10:00:00,-20.19,-3.58,363.9,2.93,94.56,917.0279999999999,407.0940319842036,344.90984437039344,150.87310482163437,108.96547947135959,539.2090566990483,1551.0515173466392,0.0,-634.0235173466393,13.975587817572041
2016-01-18 11:00:00,-15.56,-3.58,453.75,3.52,80.54,1143.45,351.39477233699733,297.7187252011262,130.23040417018768,108.64578102609505,465.4336070644272,1353.4232897988336,0.0,-209.97328979883355,13.95847971997509
2016-01-18 12:00:00,-13.24,-3.58,285.35,4.56,71.2,719.0820000000001,323.5894151876997,274.1606755773489,119.92546173872569,108.53990461542706,428.60452281925535,1254.8199799384568,0.0,-535.7379799384566,13.914829131579005
2016-01-18 13:00:00,-12.87,-3.58,419.27,4.7,70.15,1056.5604,318.6680757095658,269.99107764631634,118.10156428847725,108.26976542568175,422.08605138707446,1237.1165344571154,0.0,-180.55613445711538,13.900117870099127
2016-01-18 14:00:00,-12.85,-3.58,218.77,4.46,69.51,551.3004000000001,318.25510421563143,269.6411881305992,117.94851293768978,108.17872224843421,421.53905744416994,1235.5625849765245,0.0,-684.2621849765244,13.844365901581144
2016-01-18 15:00:00,-12.98,-3.58,104.62,3.56,70.78,263.6424,319.1384578932438,270.38960828793796,118.27589261296382,107.83369158205483,422.70908762347625,1238.3467379996766,0.0,-974.7043379996767,13.764949434093081
2016-01-18 16:00:00,-13.88,-3.58,29.42,1.8,85.41,74.1384,328.90121478745294,278.66109029565825,121.89406760086268,107.34220908507243,435.6401711622123,1272.4387529312585,0.0,-1198.3003529312584,13.667314923493898
2016-01-18 17:00:00,-15.32,-3.58,0.0,1.95,83.72,0.0,344.8717862368692,292.1921344288185,127.81292052190642,106.73798108830141,456.7937034903861,1328.4085257662816,0.0,-1328.4085257662816,13.559079524938179
2016-01-18 18:00:00,-16.41,-3.58,0.0,2.26,83.75,0.0,356.5521682473395,302.08832161137684,132.14178648644312,106.06814766928105,472.2647427857857,1369.1151668002262,0.0,-1369.1151668002262,13.447527451255256
2016-01-18 19:00:00,-16.95,-3.58,0.0,2.3,84.1,0.0,361.649556606642,306.407076708653,134.0309294063262,105.37778843458595,479.01639658786075,1386.481747744068,0.0,-1386.481747744068,13.334560392066333
2016-01-18 20:00:00,-17.68,-3.58,0.0,2.43,84.32,0.0,368.99060399327095,312.6267687520286,136.7515947191167,104.67867231820524,488.739848482338,1411.7874882649596,0.0,-1411.7874882649596,13.219531484539417
2016-01-18 21:00:00,-18.44,-3.58,0.0,2.5,85.95,0.0,376.6640409197128,319.1280773641573,139.59544690752261,103.96679609801217,498.90356094596586,1438.2579222353709,0.0,-1438.2579222353709,13.102345832370203
2016-01-18 22:00:00,-19.06,-3.58,0.0,2.55,87.86,0.0,382.64619148245373,324.19644599029164,141.81249151638644,103.24157249187164,506.8271105648224,1458.723812045826,0.0,-1458.723812045826,12.983492670773378
2016-01-18 23:00:00,-19.44,-3.58,0.0,2.49,88.52,0.0,385.75314281160985,326.82880612139564,142.9639586387973,102.50602921623249,510.9423669031151,1468.9943036911504,0.0,-1468.9943036911504,12.863802695248435
2016-01-19 00:00:00,-19.56,-3.58,0.0,2.29,87.8,0.0,385.7568312765391,326.83193116810423,142.9653256206545,101.765307173369,510.9472523928028,1468.2666476314698,0.0,-1468.2666476314698,12.744172007316203
2016-01-19 01:00:00,-19.61,-3.58,0.0,2.1,86.49,0.0,384.92841168033056,326.1300538337473,142.65830506335016,101.02495204199157,509.8499841600915,1464.591706779511,0.0,-1464.591706779511,12.62484074435759
2016-01-19 02:00:00,-19.7,-3.58,0.0,1.93,85.49,0.0,384.5794478292178,325.8343947031245,142.52897558280907,100.28644995367118,509.3877703858845,1462.617038454707,0.0,-1462.617038454707,12.505670372426852
