timestamp,outdoor_temperature_C,indoor_temperature_C
2016-01-18 03:00:00,-26.43,8.04877270165336
2016-01-18 04:00:00,-28.22,7.577091198403099
2016-01-18 05:00:00,-29.88,7.087419285372826
2016-01-18 06:00:00,-31.1,6.587154165085998
2016-01-18 07:00:00,-31.14,6.1355262858010695
2016-01-18 08:00:00,-28.29,5.845894959216519
2016-01-18 09:00:00,-24.21,5.7599517386509875
2016-01-18 10:00:00,-20.19,5.740088864375597
2016-01-18 11:00:00,-15.56,5.864278468546075
2016-01-18 12:00:00,-13.24,5.893507980917777
2016-01-18 13:00:00,-12.87,6.0314751424340765
2016-01-18 14:00:00,-12.85,6.012521946204577
2016-01-18 15:00:00,-12.98,5.903751209699713
2016-01-18 16:00:00,-13.88,5.724501178700246
2016-01-18 17:00:00,-15.32,5.502718547223049
2016-01-18 18:00:00,-16.41,5.267506639274154
2016-01-18 19:00:00,-16.95,5.027945454955692
2016-01-18 20:00:00,-17.68,4.781063478701843
2016-01-18 21:00:00,-18.44,4.52651346049741
2016-01-18 22:00:00,-19.06,4.266684783863117
2016-01-18 23:00:00,-19.44,4.0055289444990505
2016-01-19 00:00:00,-19.56,3.747246014086133
2016-01-19 01:00:00,-19.61,3.492907408429453
2016-01-19 02:00:00,-19.7,3.2417982173333
2016-01-19 03:00:00,-19.78,2.994019685911094
2016-01-19 04:00:00,-19.84,2.7498318013489516
2016-01-19 05:00:00,-19.94,2.508526154187115
2016-01-19 06:00:00,-20.03,2.270210370788927
2016-01-19 07:00:00,-19.94,2.062627577992587
2016-01-19 08:00:00,-18.84,1.9497667789671709
2016-01-19 09:00:00,-16.06,2.0220143854735695
2016-01-19 10:00:00,-14.41,2.2287537467158267
2016-01-19 11:00:00,-13.82,2.322033792584058
2016-01-19 12:00:00,-13.42,2.3808570510123275
2016-01-19 13:00:00,-13.32,2.4422190196252602
2016-01-19 14:00:00,-13.35,2.488560925537635
2016-01-19 15:00:00,-13.51,2.460764318937372
2016-01-19 16:00:00,-14.59,2.340655650398967
2016-01-19 17:00:00,-16.33,2.16484850036122
2016-01-19 18:00:00,-17.44,1.9744458208013596
2016-01-19 19:00:00,-18.18,1.7756581940580023
2016-01-19 20:00:00,-19.01,1.5671943117180205
2016-01-19 21:00:00,-20.02,1.3463411731423909
2016-01-19 22:00:00,-21.06,1.1128446886419119
2016-01-19 23:00:00,-22.15,0.8661342327999816
2016-01-20 00:00:00,-23.31,0.6053284625211831
2016-01-20 01:00:00,-24.39,0.3319712790887935
2016-01-20 02:00:00,-25.23,0.05014785423587814
2016-01-20 03:00:00,-26.06,-0.23982559626254035
2016-01-20 04:00:00,-26.94,-0.5386022867804348
2016-01-20 05:00:00,-27.75,-0.8448961893974787
2016-01-20 06:00:00,-28.5,-1.157605516878721
2016-01-20 07:00:00,-28.74,-1.4189234986622723
2016-01-20 08:00:00,-27.63,-1.5161926896601985
2016-01-20 09:00:00,-24.34,-1.4126561483848707
2016-01-20 10:00:00,-20.43,-1.14626001977111
2016-01-20 11:00:00,-16.95,-0.7868414938766759
2016-01-20 12:00:00,-15.27,-0.36476426983669563
2016-01-20 13:00:00,-13.52,-0.020502335447739328
2016-01-20 14:00:00,-12.64,0.24222922037746752
2016-01-20 15:00:00,-13.16,0.35236773856572684
2016-01-20 16:00:00,-15.04,0.2864623819357127
2016-01-20 17:00:00,-16.72,0.14214857848226678
2016-01-20 18:00:00,-18.12,-0.021997101242825334
2016-01-20 19:00:00,-19.04,-0.19790119586523253
2016-01-20 20:00:00,-19.43,-0.37683562235585766
2016-01-20 21:00:00,-20.17,-0.5643657869384767
2016-01-20 22:00:00,-21.35,-0.7674002284988006
2016-01-20 23:00:00,-22.57,-0.9862963844418944
2016-01-21 00:00:00,-23.43,-1.2149810024605976
2016-01-21 01:00:00,-24.19,-1.4516681368830975
2016-01-21 02:00:00,-25.12,-1.698940949322559
2016-01-21 03:00:00,-26.18,-1.9586927098992672
2016-01-21 04:00:00,-27.21,-2.2302122417494696
2016-01-21 05:00:00,-28.09,-2.510874203751569
2016-01-21 06:00:00,-28.96,-2.8003499515212207
2016-01-21 07:00:00,-29.29,-3.0406386104389003
2016-01-21 08:00:00,-27.77,-3.111258982282227
2016-01-21 09:00:00,-23.62,-2.9441946508407755
2016-01-21 10:00:00,-19.83,-2.673082823957884
2016-01-21 11:00:00,-15.81,-2.226335470522748
2016-01-21 12:00:00,-11.71,-1.7878545791916767
2016-01-21 13:00:00,-10.81,-1.3627086617616284
2016-01-21 14:00:00,-10.91,-1.071542406701909
2016-01-21 15:00:00,-11.64,-0.9489708870907022
2016-01-21 16:00:00,-13.68,-0.9808588734338878
2016-01-21 17:00:00,-15.78,-1.0867821423888764
2016-01-21 18:00:00,-17.07,-1.2114762874603595
2016-01-21 19:00:00,-17.93,-1.3476903638498914
2016-01-21 20:00:00,-19.06,-1.4995489116985166
2016-01-21 21:00:00,-20.26,-1.6678886005733637
2016-01-21 22:00:00,-21.43,-1.8519246917639056
2016-01-21 23:00:00,-22.49,-2.0496020463843525
2016-01-22 00:00:00,-23.52,-2.2601881237681978
2016-01-22 01:00:00,-24.6,-2.484248671603539
2016-01-22 02:00:00,-25.76,-2.7228208479086935
2016-01-22 03:00:00,-26.83,-2.9741924963912356
2016-01-22 04:00:00,-27.83,-3.2370041368445976
2016-01-22 05:00:00,-28.75,-3.509760673835146
2016-01-22 06:00:00,-29.58,-3.790833889362288
2016-01-22 07:00:00,-29.84,-4.023501767413652
2016-01-22 08:00:00,-28.09,-4.08939813310353
2016-01-22 09:00:00,-23.39,-3.9272506727779786
2016-01-22 10:00:00,-19.49,-3.583265615819844
2016-01-22 11:00:00,-14.95,-3.1378670964375623
2016-01-22 12:00:00,-11.35,-2.59901125016079
2016-01-22 13:00:00,-9.98,-2.1158421761787394
2016-01-22 14:00:00,-9.56,-1.7745066763819715
2016-01-22 15:00:00,-10.27,-1.5905690816768738
2016-01-22 16:00:00,-12.4,-1.574636495069814
2016-01-22 17:00:00,-14.43,-1.6479644980628836
2016-01-22 18:00:00,-15.88,-1.743232138665162
2016-01-22 19:00:00,-16.94,-1.8537726410089996
2016-01-22 20:00:00,-18.23,-1.9829991529412825
2016-01-22 21:00:00,-19.27,-2.12655314348681
2016-01-22 22:00:00,-20.29,-2.2838500620765805
2016-01-22 23:00:00,-21.25,-2.453673690418691
2016-01-23 00:00:00,-22.18,-2.635311973772507
2016-01-23 01:00:00,-23.29,-2.831438608172182
2016-01-23 02:00:00,-24.44,-3.0424297041327
2016-01-23 03:00:00,-25.36,-3.264318178197259
2016-01-23 04:00:00,-26.18,-3.4952977023903355
2016-01-23 05:00:00,-27.02,-3.7355223857028337
2016-01-23 06:00:00,-27.79,-3.983698077571161
2016-01-23 07:00:00,-28.04,-4.171026788602869
2016-01-23 08:00:00,-26.44,-4.170320387510471
2016-01-23 09:00:00,-22.18,-3.9801461521390116
2016-01-23 10:00:00,-18.4,-3.618508740566111
2016-01-23 11:00:00,-14.13,-3.1161451563268177
2016-01-23 12:00:00,-10.89,-2.5871448441194422
2016-01-23 13:00:00,-10.03,-2.1629440071045805
2016-01-23 14:00:00,-9.96,-1.8202070510495194
2016-01-23 15:00:00,-10.63,-1.6327775926030954
2016-01-23 16:00:00,-12.59,-1.6186191146568543
2016-01-23 17:00:00,-14.56,-1.693226539121066
2016-01-23 18:00:00,-16.32,-1.794728777838232
2016-01-23 19:00:00,-17.6,-1.9149225499135807
2016-01-23 20:00:00,-18.48,-2.0470401778897527
2016-01-23 21:00:00,-19.49,-2.1929503356621183
2016-01-23 22:00:00,-20.53,-2.3528813202113548
2016-01-23 23:00:00,-21.37,-2.5233633634035506
2016-01-24 00:00:00,-22.19,-2.703881326723275
2016-01-24 01:00:00,-23.04,-2.894732555083802
2016-01-24 02:00:00,-23.91,-3.096048325087499
2016-01-24 03:00:00,-24.58,-3.3044242344909414
