timestamp,outdoor_temperature_C,indoor_temperature_C
2016-01-18 03:00:00,-26.43,4.644791958480735
2016-01-18 04:00:00,-28.22,4.275333873982518
2016-01-18 05:00:00,-29.88,3.893532143722833
2016-01-18 06:00:00,-31.1,3.5050582380008155
2016-01-18 07:00:00,-31.14,3.157154166263731
2016-01-18 08:00:00,-28.29,2.93960856708779
2016-01-18 09:00:00,-24.21,2.884955510125724
2016-01-18 10:00:00,-20.19,2.8808040273365894
2016-01-18 11:00:00,-15.56,2.989991617633024
2016-01-18 12:00:00,-13.24,3.019591716191551
2016-01-18 13:00:00,-12.87,3.137148241452624
2016-01-18 14:00:00,-12.85,3.1265448165137872
2016-01-18 15:00:00,-12.98,3.0429275761385446
2016-01-18 16:00:00,-13.88,2.90287804444532
2016-01-18 17:00:00,-15.32,2.729728102064748
2016-01-18 18:00:00,-16.41,2.546961763809805
2016-01-18 19:00:00,-16.95,2.3615418660236274
2016-01-18 20:00:00,-17.68,2.171193101359434
2016-01-18 21:00:00,-18.44,1.975654351373315
2016-01-18 22:00:00,-19.06,1.7767576475134454
2016-01-18 23:00:00,-19.44,1.5775230761110604
2016-01-19 00:00:00,-19.56,1.3811505871367895
2016-01-19 01:00:00,-19.61,1.1884374436578633
2016-01-19 02:00:00,-19.7,0.9988128449664713
2016-01-19 03:00:00,-19.78,0.8123323727481464
2016-01-19 04:00:00,-19.84,0.6291731913764389
2016-01-19 05:00:00,-19.94,0.4487718566279269
2016-01-19 06:00:00,-20.03,0.27119114658639554
2016-01-19 07:00:00,-19.94,0.11884105200677203
2016-01-19 08:00:00,-18.84,0.0428916377731688
2016-01-19 09:00:00,-16.06,0.1153034013322162
2016-01-19 10:00:00,-14.41,0.29532806136523637
2016-01-19 11:00:00,-13.82,0.3817680218822659
2016-01-19 12:00:00,-13.42,0.4393782222277532
2016-01-19 13:00:00,-13.32,0.49860088850871215
2016-01-19 14:00:00,-13.35,0.5452575567404516
2016-01-19 15:00:00,-13.51,0.5314085046576483
2016-01-19 16:00:00,-14.59,0.44320081809674833
2016-01-19 17:00:00,-16.33,0.3111744597897832
2016-01-19 18:00:00,-17.44,0.16839122147942626
2016-01-19 19:00:00,-18.18,0.01962849799653682
2016-01-19 20:00:00,-19.01,-0.13608871964082572
2016-01-19 21:00:00,-20.02,-0.3008193529454418
2016-01-19 22:00:00,-21.06,-0.47473563556252096
2016-01-19 23:00:00,-22.15,-0.6582516375491293
2016-01-20 00:00:00,-23.31,-0.8520180027168205
2016-01-20 01:00:00,-24.39,-1.0548293328621416
