timestamp,outdoor_temperature_C,indoor_temperature_C
2016-01-18 03:00:00,-26.43,4.943308537098964
2016-01-18 04:00:00,-28.22,4.881079724510095
2016-01-18 05:00:00,-29.88,4.813756179347319
2016-01-18 06:00:00,-31.1,4.742778794361743
2016-01-18 07:00:00,-31.14,4.677707019216058
2016-01-18 08:00:00,-28.29,4.6375494975019835
2016-01-18 09:00:00,-24.21,4.6297360734088215
2016-01-18 10:00:00,-20.19,4.634915997631524
2016-01-18 11:00:00,-15.56,4.664934386426831
2016-01-18 12:00:00,-13.24,4.683714272760423
2016-01-18 13:00:00,-12.87,4.718398839662624
2016-01-18 14:00:00,-12.85,4.730860004981358
2016-01-18 15:00:00,-12.98,4.7302431844734825
2016-01-18 16:00:00,-13.88,4.718420503313032
2016-01-18 17:00:00,-15.32,4.69875255561839
2016-01-18 18:00:00,-16.41,4.675650449336429
2016-01-18 19:00:00,-16.95,4.650903002700684
2016-01-18 20:00:00,-17.68,4.623904128143162
2016-01-18 21:00:00,-18.44,4.59456647473754
2016-01-18 22:00:00,-19.06,4.563351516412605
2016-01-18 23:00:00,-19.44,4.531041415823397
2016-01-19 00:00:00,-19.56,4.498479582079018
2016-01-19 01:00:00,-19.61,4.465892906173347
2016-01-19 02:00:00,-19.7,4.433152443101761
2016-01-19 03:00:00,-19.78,4.4002910996785465
2016-01-19 04:00:00,-19.84,4.367373907082935
2016-01-19 05:00:00,-19.94,4.334272050263157
2016-01-19 06:00:00,-20.03,4.3010185654417095
2016-01-19 07:00:00,-19.94,4.271759706143828
2016-01-19 08:00:00,-18.84,4.256654976374517
2016-01-19 09:00:00,-16.06,4.270389289521478
2016-01-19 10:00:00,-14.41,4.305035990349156
2016-01-19 11:00:00,-13.82,4.324389530586876
2016-01-19 12:00:00,-13.42,4.3393466823958
2016-01-19 13:00:00,-13.32,4.354852010203555
2016-01-19 14:00:00,-13.35,4.368276177087051
2016-01-19 15:00:00,-13.51,4.371006361263267
2016-01-19 16:00:00,-14.59,4.359437857802367
2016-01-19 17:00:00,-16.33,4.338015944686171
2016-01-19 18:00:00,-17.44,4.3131026994313935
2016-01-19 19:00:00,-18.18,4.285906458850033
2016-01-19 20:00:00,-19.01,4.256146430637126
2016-01-19 21:00:00,-20.02,4.2232526387904015
2016-01-19 22:00:00,-21.06,4.187141430322784
2016-01-19 23:00:00,-22.15,4.147664978283482
2016-01-20 00:00:00,-23.31,4.104611550716178
2016-01-20 01:00:00,-24.39,4.05825423725042
2016-01-20 02:00:00,-25.23,4.009381179455763
2016-01-20 03:00:00,-26.06,3.958035183297097
2016-01-20 04:00:00,-26.94,3.9040653016559563
2016-01-20 05:00:00,-27.75,3.847708367405568
2016-01-20 06:00:00,-28.5,3.789167958553699
2016-01-20 07:00:00,-28.74,3.737183117445984
2016-01-20 08:00:00,-27.63,3.709238102245013
2016-01-20 09:00:00,-24.34,3.7129467316718694
