timestamp,outdoor_temperature_C,earth_skin_temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,Q_solar_W,Q_wall_W,Q_window_W,Q_roof_W,Q_floor_W,Q_infiltration_W,Q_total_loss_W,Q_internal_W,Q_net_W,indoor_temperature_C
2016-01-19 12:00:00,-13.42,-3.58,243.07,0.76,65.17,612.5364,384.4195735129069,286.47360000000003,135.78928024502298,147.03519112926756,447.85372799999993,1401.5713728871974,450.0,-339.03497288719745,14.964309559229797
2016-01-19 13:00:00,-13.32,-3.58,245.68,1.43,64.56,619.1136,382.58417374617005,285.10584035703636,135.14095838406885,146.75275029072426,445.7154637581667,1395.2991865361664,450.0,-326.1855865361663,14.929971782046449
2016-01-19 14:00:00,-13.35,-3.58,228.3,2.29,64.76,575.316,382.5254993459302,285.0621155630282,135.12023271054352,146.48101392737078,445.64710733020064,1394.8359688770734,450.0,-369.5199688770733,14.891072165141729
2016-01-19 15:00:00,-13.51,-3.58,136.65,2.74,67.22,344.358,384.1635485233312,286.28280742462863,135.69884403559294,146.1731768656678,447.5554556071693,1399.87383245639,450.0,-605.51583245639,14.82732910415405
2016-01-19 16:00:00,-14.59,-3.58,38.83,1.97,80.76,97.85159999999999,397.90982083419146,296.5266773698728,140.55446677635626,145.66873805213243,463.57003895490107,1444.229741987454,450.0,-896.378141987454,14.732966771230503
2016-01-19 17:00:00,-16.33,-3.58,0.0,2.27,68.85,0.0,420.1693328023232,313.1147050540034,148.4172378656036,144.9219897390637,489.5026555677586,1516.1259210287526,450.0,-1066.1259210287526,14.620734974864426
2016-01-19 18:00:00,-17.44,-3.58,0.0,2.36,57.35,0.0,433.66551954777344,323.17220854663344,153.184522391389,144.03382915620753,505.2258860279035,1559.2819656699069,450.0,-1109.2819656699069,14.503960112507178
2016-01-19 19:00:00,-18.18,-3.58,0.0,2.32,49.39,0.0,442.0954963815225,329.4543179340724,156.16225964934517,143.1097164433016,515.046917036933,1585.8687074451746,450.0,-1135.8687074451746,14.384386445871652
2016-01-19 20:00:00,-19.01,-3.58,0.0,2.27,43.58,0.0,451.70498927681837,336.61541537438626,159.55663968012183,142.1634550370701,526.2420993686237,1616.2825987370202,450.0,-1166.2825987370202,14.261611088341233
2016-01-19 21:00:00,-20.02,-3.58,0.0,2.24,39.85,0.0,463.70592237563255,345.55863977047966,163.79575282637774,141.1918566430739,540.2233401745165,1654.4755117900804,450.0,-1204.4755117900804,14.134815137036805
2016-01-19 22:00:00,-21.06,-3.58,0.0,2.19,36.04,0.0,476.058262661692,354.763736581331,168.15899422290173,140.18844076931373,554.6139748554807,1693.783409090719,450.0,-1243.783409090719,14.003881216812939
