timestamp,outdoor_temperature_C,indoor_temperature_C
2024-06-01 06:00:00,-0.84,4.97741894317361
2024-06-01 07:00:00,0.59,4.984220268678722
2024-06-01 08:00:00,1.94,5.017514886976266
2024-06-01 09:00:00,3.44,5.091059579801697
2024-06-01 10:00:00,4.77,5.17513039772886
2024-06-01 11:00:00,5.71,5.269350951246004
2024-06-01 12:00:00,6.36,5.3701221846906835
2024-06-01 13:00:00,6.58,5.448588962500427
2024-06-01 14:00:00,6.49,5.514500557498462
2024-06-01 15:00:00,5.69,5.567538148692754
2024-06-01 16:00:00,4.69,5.596210290377589
2024-06-01 17:00:00,3.43,5.602670134527215
2024-06-01 18:00:00,1.83,5.580050360657684
2024-06-01 19:00:00,0.04,5.537576230954181
2024-06-01 20:00:00,-0.64,5.489640632825474
2024-06-01 21:00:00,-1.37,5.435870861540095
2024-06-01 22:00:00,-1.81,5.378891780579759
2024-06-01 23:00:00,-1.8,5.322704296671121
2024-06-02 00:00:00,-1.87,5.2665944079785545
2024-06-02 01:00:00,-2.14,5.208800588066079
2024-06-02 02:00:00,-2.4,5.149431658263915
2024-06-02 03:00:00,-2.88,5.086570442645825
2024-06-02 04:00:00,-3.45,5.0194678076659045
2024-06-02 05:00:00,-2.34,4.976801258623525
2024-06-02 06:00:00,-0.4,4.962030091471755
2024-06-02 07:00:00,0.97,4.981156137102188
2024-06-02 08:00:00,2.19,5.052919135272293
2024-06-02 09:00:00,3.32,5.135167132741372
2024-06-02 10:00:00,4.23,5.271690816489512
2024-06-02 11:00:00,5.28,5.421435424495124
2024-06-02 12:00:00,6.1,5.580898561224861
2024-06-02 13:00:00,6.55,5.684034570993698
2024-06-02 14:00:00,6.93,5.78370609016098
2024-06-02 15:00:00,6.73,5.85897908704399
2024-06-02 16:00:00,6.11,5.906111158436893
2024-06-02 17:00:00,5.1,5.934485355354988
2024-06-02 18:00:00,2.81,5.917967996157766
2024-06-02 19:00:00,0.78,5.877835415912619
2024-06-02 20:00:00,0.64,5.836965988578652
2024-06-02 21:00:00,0.43,5.794752613720712
2024-06-02 22:00:00,0.03,5.749539346301793
2024-06-02 23:00:00,-0.57,5.699602660215909
2024-06-03 00:00:00,-1.21,5.644648765825597
2024-06-03 01:00:00,-1.76,5.585531870557825
2024-06-03 02:00:00,-2.15,5.523711833127912
2024-06-03 03:00:00,-2.46,5.459926258826724
2024-06-03 04:00:00,-2.8,5.393935332545796
2024-06-03 05:00:00,-1.94,5.355644371465717
2024-06-03 06:00:00,1.12,5.371224478170752
2024-06-03 07:00:00,3.52,5.445847137970521
2024-06-03 08:00:00,4.82,5.568724825054921
2024-06-03 09:00:00,6.07,5.726178113343406
2024-06-03 10:00:00,7.24,5.901279141460487
2024-06-03 11:00:00,8.17,6.05967081734744
2024-06-03 12:00:00,8.73,6.2173207595075795
2024-06-03 13:00:00,8.9,6.3830229568203505
2024-06-03 14:00:00,8.63,6.5202463570225735
2024-06-03 15:00:00,8.09,6.6083319690771285
2024-06-03 16:00:00,7.17,6.663280189737947
2024-06-03 17:00:00,5.97,6.69037375980003
2024-06-03 18:00:00,4.23,6.676984854557482
2024-06-03 19:00:00,2.2,6.639980089716303
2024-06-03 20:00:00,1.25,6.595069554393308
2024-06-03 21:00:00,0.54,6.544463549749117
2024-06-03 22:00:00,-0.21,6.487880288873266
2024-06-03 23:00:00,-0.83,6.426537947372477
2024-06-04 00:00:00,-1.37,6.361199516939025
2024-06-04 01:00:00,-1.85,6.292442511134766
2024-06-04 02:00:00,-1.99,6.22330210809949
2024-06-04 03:00:00,-1.95,6.155367553433599
2024-06-04 04:00:00,-1.92,6.088535929097935
2024-06-04 05:00:00,-0.72,6.048821256896924
2024-06-04 06:00:00,1.97,6.058198781445006
2024-06-04 07:00:00,4.17,6.132780801576629
2024-06-04 08:00:00,4.84,6.240513999501288
2024-06-04 09:00:00,5.44,6.354759230171351
2024-06-04 10:00:00,6.6,6.492679351123819
2024-06-04 11:00:00,7.73,6.6414407389527925
2024-06-04 12:00:00,8.67,6.767684617868897
2024-06-04 13:00:00,9.1,6.898163848731508
2024-06-04 14:00:00,9.19,7.020294362195664
2024-06-04 15:00:00,8.67,7.108970560343401
2024-06-04 16:00:00,7.18,7.156583454457264
2024-06-04 17:00:00,5.04,7.1628342892471775
2024-06-04 18:00:00,3.24,7.134071536647052
2024-06-04 19:00:00,1.41,7.084468493300557
2024-06-04 20:00:00,0.13,7.024210303313844
2024-06-04 21:00:00,-0.72,6.957213756594863
2024-06-04 22:00:00,-1.23,6.886555023416072
2024-06-04 23:00:00,-1.68,6.812807494364658
2024-06-05 00:00:00,-2.13,6.736009309401182
2024-06-05 01:00:00,-2.53,6.656638279615683
2024-06-05 02:00:00,-2.78,6.576046600314082
2024-06-05 03:00:00,-2.9,6.495393713279298
2024-06-05 04:00:00,-2.98,6.415032487955209
2024-06-05 05:00:00,-2.08,6.352612793360907
2024-06-05 06:00:00,0.2,6.330891514844639
2024-06-05 07:00:00,2.0,6.353208541231977
2024-06-05 08:00:00,3.65,6.420231395313073
2024-06-05 09:00:00,5.12,6.512295970547616
2024-06-05 10:00:00,6.47,6.630071518160045
2024-06-05 11:00:00,7.68,6.739898086305403
2024-06-05 12:00:00,8.33,6.846010432946167
2024-06-05 13:00:00,8.47,6.9410502942165095
2024-06-05 14:00:00,8.25,7.057894557648968
2024-06-05 15:00:00,7.48,7.1392296102973685
2024-06-05 16:00:00,6.44,7.181254063424715
2024-06-05 17:00:00,5.32,7.186792937802002
2024-06-05 18:00:00,3.57,7.159283762812903
2024-06-05 19:00:00,1.27,7.108137005092637
2024-06-05 20:00:00,0.5,7.0508436114435
2024-06-05 21:00:00,0.43,6.993641468608158
2024-06-05 22:00:00,-1.15,6.923237159151562
2024-06-05 23:00:00,-0.3,6.861184606205443
2024-06-06 00:00:00,-0.96,6.794088392923172
2024-06-06 01:00:00,-2.06,6.718137547355355
2024-06-06 02:00:00,-2.16,6.642244246607192
2024-06-06 03:00:00,-3.44,6.556020427139153
2024-06-06 04:00:00,-4.02,6.465755637613703
2024-06-06 05:00:00,-3.08,6.396634541206911
2024-06-06 06:00:00,-0.36,6.373407888543103
2024-06-06 07:00:00,2.01,6.399553598802175
2024-06-06 08:00:00,3.92,6.470668022999513
2024-06-06 09:00:00,5.37,6.570848033904178
2024-06-06 10:00:00,6.33,6.692868339904956
2024-06-06 11:00:00,6.82,6.812475373546742
2024-06-06 12:00:00,6.87,6.9304499601484
2024-06-06 13:00:00,6.47,7.000519773231824
2024-06-06 14:00:00,5.85,7.062967317987701
2024-06-06 15:00:00,5.29,7.10426699724661
2024-06-06 16:00:00,4.69,7.118066894294507
2024-06-06 17:00:00,3.7,7.1048294309871425
2024-06-06 18:00:00,2.28,7.0669538681419395
2024-06-06 19:00:00,1.11,7.015538730645915
2024-06-06 20:00:00,0.61,6.960357038340327
2024-06-06 21:00:00,-0.24,6.898374305515861
2024-06-06 22:00:00,-1.2,6.828706197773601
2024-06-06 23:00:00,-1.93,6.753472266449641
2024-06-07 00:00:00,-2.39,6.675118004657533
2024-06-07 01:00:00,-3.07,6.591745316609173
2024-06-07 02:00:00,-3.6,6.50473659526138
2024-06-07 03:00:00,-4.09,6.414488851436013
2024-06-07 04:00:00,-4.56,6.321218136898137
2024-06-07 05:00:00,-3.28,6.250282428962519
2024-06-07 06:00:00,-0.31,6.227721101529389
2024-06-07 07:00:00,1.9,6.25238755754111
2024-06-07 08:00:00,3.63,6.319833427549674
2024-06-07 09:00:00,5.27,6.417150936439872
2024-06-07 10:00:00,6.77,6.529571120352078
2024-06-07 11:00:00,7.85,6.6564577797805295
2024-06-07 12:00:00,8.22,6.776327153787152
2024-06-07 13:00:00,7.98,6.88573492668941
2024-06-07 14:00:00,7.36,6.981743291763636
2024-06-07 15:00:00,6.47,7.039200388798273
2024-06-07 16:00:00,5.36,7.053642800924941
2024-06-07 17:00:00,4.04,7.047552215575848
2024-06-07 18:00:00,2.61,7.013899737296262
2024-06-07 19:00:00,1.0,6.962171391210123
