timestamp,outdoor_temperature_C,earth_skin_temperature_C,solar_radiation_W_m2,wind_speed_m_s,humidity_percent,Q_solar_W,Q_wall_W,Q_window_W,Q_roof_W,Q_floor_W,Q_infiltration_W,Q_total_loss_W,Q_internal_W,Q_net_W,indoor_temperature_C
2016-01-18 03:00:00,-26.43,-3.58,0.0,2.69,100.0,0.0,321.95663157894734,316.8144,415.4226086956522,326.631724137931,495.2865119999999,1876.1118764125301,450.0,-1426.1118764125301,4.644791958480735
2016-01-18 04:00:00,-28.22,-3.58,0.0,2.87,100.0,0.0,336.654079430332,331.27710294148585,434.38681545122364,313.1093214538873,517.8965375985227,1933.3238568754514,450.0,-1483.3238568754514,4.275333873982518
2016-01-18 05:00:00,-29.88,-3.58,0.0,3.05,100.0,0.0,349.87388623995315,344.28576544974374,451.44441294307325,299.0444343750586,538.2334133197659,1982.8819123275948,450.0,-1532.8819123275948,3.893532143722833
2016-01-18 06:00:00,-31.1,-3.58,0.0,3.14,100.0,0.0,358.46006159855625,352.73480400872614,462.5232074648583,284.50963747137956,551.4420769336417,2009.6697874771621,450.0,-1559.6697874771621,3.5050582380008155
2016-01-18 07:00:00,-31.14,-3.58,51.95,3.08,100.0,130.91400000000002,354.8904311537767,349.2221870390482,457.917291493576,269.7208377501,545.9506857377119,1977.7014331742128,450.0,-1396.7874331742128,3.157154166263731
2016-01-18 08:00:00,-28.29,-3.58,191.82,2.94,94.46,483.3864,322.1323521512609,316.9873139959384,415.64934202365976,256.47648963983306,495.55683421365023,1806.8023320243424,450.0,-873.4159320243424,2.93960856708779
2016-01-18 09:00:00,-24.21,-3.58,363.98,3.5,89.79,917.2296,278.10997527669474,273.6680543562449,358.8470001910734,248.19475372637652,427.8343916435961,1586.6541751939858,450.0,-219.42457519398567,2.884955510125724
2016-01-18 10:00:00,-20.19,-3.58,363.9,2.93,94.56,917.0279999999999,236.37082245861117,232.5955515420673,304.9907163077487,246.11416838547584,363.62437891076513,1383.6956376046683,450.0,-16.66763760466847,2.8808040273365894
2016-01-18 11:00:00,-15.56,-3.58,453.75,3.52,80.54,1143.45,188.9003865176193,185.88330459555283,243.73932279610102,245.95612573033083,290.59756618438087,1155.0767058239849,450.0,438.3732941760152,2.989991617633024
2016-01-18 12:00:00,-13.24,-3.58,285.35,4.56,71.2,719.0820000000001,166.25368857040024,163.5983155057409,214.51815007654085,250.11278434023646,255.75869990730823,1050.2416384002267,450.0,118.84036159977336,3.019591716191551
